site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1117,decreasing,True,0.0,-16.492934216428658,-0.9242337164750958,-9649.0,342199.0,-0.37676672640382325,-148.49279569892474
Site_1118,decreasing,True,0.0,-16.58697911793387,-0.9295019157088122,-9704.0,342198.0,-0.44208710407239815,-146.22972850678732
Site_1119,decreasing,True,0.0,-16.855341145728293,-0.9445402298850575,-9861.0,342199.0,-0.49865536723163806,-102.68681355932206
Site_112,decreasing,True,0.0,-16.971584877767796,-0.9510536398467433,-9929.0,342199.0,-0.47706476530005926,-106.71133689839573
Site_1120,decreasing,True,0.0,-17.058792602067616,-0.9559386973180076,-9980.0,342198.0,-0.5137807807807807,-117.70778378378378
Site_1121,decreasing,True,0.0,-16.046786867983638,-0.8992337164750958,-9388.0,342198.0,-0.30999999999999994,-107.42000000000002
Site_1122,decreasing,True,0.0,-16.959593830943554,-0.9503831417624521,-9922.0,342200.0,-0.5681059782608697,-126.80636956521738
Site_1123,decreasing,True,0.0,-16.192115404346982,-0.907375478927203,-9473.0,342197.0,-0.37755599800895956,-123.14596814335492
Site_1124,decreasing,True,0.0,-16.853705556017005,-0.9444444444444444,-9860.0,342196.0,-0.4074999999999992,-150.97000000000006
Site_1125,decreasing,True,0.0,-16.95107127799612,-0.949904214559387,-9917.0,342199.0,-0.4327272727272723,-145.9036363636364
Site_1126,decreasing,True,0.0,-15.83827791626915,-0.8875478927203065,-9266.0,342196.0,-0.24461215415019763,-111.29792490118577
Site_1127,decreasing,True,0.0,-16.286064955891465,-0.9126436781609195,-9528.0,342200.0,-0.4177621283255083,-120.8211267605634
Site_1128,decreasing,True,0.0,-16.156145680500707,-0.9053639846743295,-9452.0,342200.0,-0.32595212926608275,-136.75144669284205
Site_1129,decreasing,True,0.0,-14.313426982506376,-0.8021072796934866,-8374.0,342196.0,-0.1769265367316341,-147.20128935532233
Site_113,decreasing,True,0.0,-16.775020723929202,-0.9400383141762452,-9814.0,342198.0,-0.45557148040638606,-93.8988534107402
Site_1130,decreasing,True,0.0,-17.02797239693869,-0.9542145593869732,-9962.0,342200.0,-0.538848984397998,-142.79287312334415
Site_1131,decreasing,True,0.0,-16.523704616086174,-0.9259578544061303,-9667.0,342199.0,-0.4417724358974357,-117.03238461538463
Site_1132,decreasing,True,0.0,-16.58014124135222,-0.9291187739463601,-9700.0,342198.0,-0.4093096405228758,-119.84970588235294
Site_1133,decreasing,True,0.0,-16.25192316543309,-0.910727969348659,-9508.0,342198.0,-0.4144000000000001,-132.29319999999998
Site_1134,decreasing,True,0.0,-13.448433067165611,-0.753639846743295,-7868.0,342196.0,-0.3020832483860006,-152.46000611620798
Site_1135,decreasing,True,0.0,-16.007445688498958,-0.8970306513409961,-9365.0,342199.0,-0.4059775280898874,-100.72961797752811
Site_1136,decreasing,True,0.0,-16.46384922747882,-0.9226053639846743,-9632.0,342200.0,-0.3928784841542573,-145.66274914089345
Site_1137,decreasing,True,0.0,-16.161344914769465,-0.9056513409961686,-9455.0,342197.0,-0.38950444132772327,-154.39568022440392
Site_1138,decreasing,True,0.0,-16.98694525734161,-0.9519157088122605,-9938.0,342200.0,-0.5576887464387464,-102.86641025641026
Site_1139,decreasing,True,0.0,-16.357958055130002,-0.9166666666666666,-9570.0,342196.0,-0.35210526315789464,-149.6184210526316
Site_114,decreasing,True,0.0,-16.70490808073599,-0.9361111111111111,-9773.0,342199.0,-0.3965453551912569,-116.30873442622952
Site_1140,decreasing,True,0.0,-16.380157285098477,-0.917911877394636,-9583.0,342197.0,-0.3785714285714286,-111.91285714285712
Site_1141,decreasing,True,0.0,-13.911680232324297,-0.7795977011494253,-8139.0,342197.0,-0.2937370977534911,-138.26092896174865
Site_1142,decreasing,True,0.0,-16.730574526148487,-0.9375478927203065,-9788.0,342198.0,-0.4527501909854859,-115.68198624904502
Site_1143,decreasing,True,0.0,-16.925404547945988,-0.9484674329501915,-9902.0,342200.0,-0.4955216106965173,-152.74244402985073
Site_1144,decreasing,True,0.0,-16.83656161316404,-0.9434865900383141,-9850.0,342198.0,-0.513499124703944,-130.38806302131604
Site_1145,decreasing,True,0.0,-16.593865486586576,-0.9298850574712644,-9708.0,342196.0,-0.37277805800756625,-126.08997982345524
Site_1146,decreasing,True,0.0,-16.34765343757617,-0.9160919540229885,-9564.0,342198.0,-0.4363014154079985,-148.3562980906241
Site_1147,decreasing,True,0.0,-17.089513106334312,-0.9576628352490422,-9998.0,342200.0,-0.5276579122340426,-112.03863031914894
Site_1148,decreasing,True,0.0,-16.79043047946538,-0.9409003831417625,-9823.0,342197.0,-0.44969059011164303,-120.8722775119617
Site_1149,decreasing,True,0.0,-16.667348521155308,-0.9340038314176246,-9751.0,342197.0,-0.4133084577114427,-132.19179104477612
Site_115,decreasing,True,0.0,-16.388728589667817,-0.9183908045977012,-9588.0,342196.0,-0.48381962864721484,-105.64498673740053
Site_1150,decreasing,True,0.0,-16.50834353724491,-0.925095785440613,-9658.0,342198.0,-0.34303123575011407,-90.2517510259918
Site_1151,decreasing,True,0.0,-16.36132919073947,-0.9168582375478928,-9572.0,342198.0,-0.3504939024390243,-163.77443902439023
Site_1152,decreasing,True,0.0,-16.634844254005408,-0.9321839080459771,-9732.0,342198.0,-0.3724231127679403,-149.6555358807083
Site_1153,decreasing,True,0.0,-15.200577430812979,-0.8518199233716475,-8893.0,342199.0,-0.3568457101658254,-101.91710886806057
