Site,DecLatVa,DecLongVa,AltVa
2315403.0,33.829444,-101.249722,3075.0
2314602.0,33.7975,-101.283611,3084.0
2313904.0,33.772778,-101.403056,3138.0
2313805.0,33.7725,-101.457223,3159.0
2313402.0,33.814723,-101.483055,3174.0
2312608.0,33.82,-101.521111,3200.0
2322907.0,33.649167,-101.263334,3020.0
2322602.0,33.6775,-101.263612,3051.0
2314403.0,33.8,-101.364723,3121.0
2322502.0,33.696111,-101.298056,3066.0
2320907.0,33.65,-101.535278,3166.0
2323407.0,33.67,-101.223889,3024.0
2322205.0,33.725278,-101.312778,3071.0
2328313.0,33.6,-101.535556,3122.0
2321903.0,33.660125,-101.403025,3114.0
2321402.0,33.694445,-101.467222,3140.0
2320615.0,33.68,-101.511945,3162.0
2320305.0,33.734722,-101.526389,3182.0
2330302.0,33.602223,-101.270278,3013.0
2329602.0,33.552778,-101.396667,3054.0
2329402.0,33.569722,-101.475,3110.0
2328901.0,33.505556,-101.532222,3065.0
2312902.0,33.7672222,-101.5077778,3184.0
2321706.0,33.665556,-101.483055,3144.0
2330502.0,33.561112,-101.299167,3024.0
2330901.0,33.522222,-101.269167,3006.0
2323302.0,33.715278,-101.164723,3012.0
2322704.0,33.645278,-101.335278,3075.0
2320906.0,33.651112,-101.505834,3151.0
2330701.0,33.520278,-101.354167,3014.0
2329803.0,33.510278,-101.443611,3046.0
2323805.0,33.645556,-101.194167,3000.0
2330201.0,33.616389,-101.310278,3056.0
2320201.0,33.710278,-101.543611,3182.0
2328310.0,33.6236111,-101.5266667,3141.0
2321101.0,33.721111,-101.4825,3160.0
2331201.0,33.601389,-101.194445,2979.0
2315501.0,33.821389,-101.205001,3077.0
2313502.0,33.821111,-101.444167,3172.0
2312801.0,33.761389,-101.560278,3202.0
2322305.0,33.718611,-101.262501,3060.0
2324203.0,33.739445,-101.043889,3000.0
2324505.0,33.703056,-101.059167,2998.0
2314803.0,33.769167,-101.316944,3091.0
2336301.0,33.491389,-101.518611,3045.0
2322102.0,33.74,-101.350556,3110.0
2329203.0,33.622222,-101.425,3104.0
2331101.0,33.608334,-101.2375,3005.0
2316501.0,33.816112,-101.065834,3040.0
2329302.0,33.602778,-101.393889,3075.0
251702.0,36.139722,-102.741389,4191.0
252301.0,36.231111,-102.512223,4064.0
252801.0,36.156389,-102.582222,4081.0
253201.0,36.219722,-102.447778,4032.0
258102.0,36.086389,-102.860278,4275.0
260201.0,36.101945,-102.581111,4050.0
263201.0,36.088611,-102.191111,3802.0
148902.0,36.251389,-103.004167,4531.0
164301.0,36.119722,-103.001112,4439.0
235803.0,36.388889,-102.700001,4336.0
244601.0,36.321944,-102.525278,4092.0
245101.0,36.347778,-102.463056,4033.0
251501.0,36.168889,-102.698334,4180.0
254701.0,36.146945,-102.358056,3942.0
254802.0,36.125555,-102.321111,3911.0
261501.0,36.079722,-102.452223,3975.0
236903.0,36.4111111,-102.5402778,4135.0
233501.0,36.432778,-102.933889,4576.0
242903.0,36.279167,-102.759167,4266.0
253601.0,36.197222,-102.396111,3963.0
263101.0,36.110834,-102.223611,3817.0
249201.0,36.241389,-102.932778,4432.0
249801.0,36.148611,-102.941111,4376.0
250403.0,36.202501,-102.836667,4348.0
255802.0,36.127222,-102.186945,3777.0
260303.0,36.124166,-102.508611,4009.0
237701.0,36.400834,-102.483611,4037.0
239502.0,36.451945,-102.191945,3828.0
241304.0,36.345,-102.8825,4399.0
252601.0,36.205556,-102.522222,4080.0
258302.0,36.106945,-102.770555,4230.0
245301.0,36.370833,-102.393889,3955.0
249401.0,36.191667,-102.975833,4459.0
249704.0,36.140834,-102.981111,4412.0
249901.0,36.126111,-102.896111,4331.0
250701.0,36.160556,-102.850556,4330.0
2817705.0,32.6333333,-101.9608333,2923.0
2809301.0,32.8480556,-101.895,3000.0
2817307.0,32.7488889,-101.9102778,2983.0
2826206.0,32.5908333,-101.8297222,2872.0
2732502.0,32.5619,-102.0673,2920.0
2801702.0,32.8958333,-101.9938889,3058.0
2716605.0,32.8258333,-102.0277778,3046.0
2708405.0,32.93,-102.1177778,3120.0
2708503.0,32.94,-102.06,3090.0
2732202.0,32.6236111,-102.0711111,2975.0
2801801.0,32.9005556,-101.9294444,3041.0
2809907.0,32.7841667,-101.8758333,2985.0
2810706.0,32.7847222,-101.8488889,2957.0
2817120.0,32.7230556,-101.9891667,2979.0
2724704.0,32.6280556,-102.0880556,2978.0
2716611.0,32.83,-102.0263889,3045.0
2825506.0,32.5472222,-101.9352778,2860.0
2716803.0,32.79,-102.0463889,3015.0
2724703.0,32.6655556,-102.095,2962.0
2817121.0,32.7288889,-101.9672222,2950.0
2817306.0,32.7177778,-101.9125,2965.0
2817506.0,32.6872222,-101.9419444,2966.0
2818205.0,32.7208333,-101.8330556,2940.0
2826403.0,32.5827778,-101.8458333,2866.0
2827201.0,32.6141667,-101.7008333,2830.0
2732703.0,32.5411111,-102.1172222,2910.0
2817702.0,32.6673,-101.9668,2931.0
2810705.0,32.7733333,-101.8663889,2983.0
2809414.0,32.8116667,-101.9630556,3027.0
2803402.0,32.951,-101.7184,2990.0
2801504.0,32.9563889,-101.9475,3050.0
2827101.0,32.585,-101.7438889,2840.0
2707901.0,32.9158333,-102.1558333,3109.0
2707801.0,32.9122222,-102.1944444,3133.0
2724904.0,32.6461111,-102.0377778,2970.0
2724202.0,32.7311111,-102.0702778,3008.0
2809602.0,32.8033333,-101.9152778,3014.0
2802901.0,32.9044444,-101.7652778,2989.0
2802702.0,32.9152778,-101.8672222,3020.0
2802501.0,32.9433333,-101.8083333,3031.0
2818202.0,32.7255556,-101.8169444,2942.0
2818201.0,32.7136111,-101.7944444,2936.0
2817208.0,32.7291667,-101.9327778,2963.0
2826802.0,32.5388889,-101.8280556,2796.0
2825903.0,32.5286111,-101.8955556,2802.0
2819703.0,32.6644444,-101.7383333,2890.0
2819101.0,32.74,-101.7386111,2930.0
2818902.0,32.65,-101.7588889,2880.0
2818801.0,32.6325,-101.8013889,2870.0
2715201.0,32.8569444,-102.1683333,3124.0
2708801.0,32.8816667,-102.0580556,3087.0
2724101.0,32.7097222,-102.1022222,3000.0
2817807.0,32.6411111,-101.9205556,2907.0
2817501.0,32.7027778,-101.9238889,2950.0
2817118.0,32.7452778,-101.9952778,2983.0
2810402.0,32.8219444,-101.8513889,2963.0
2827801.0,32.5313889,-101.6894444,2802.0
2825803.0,32.5319444,-101.9494444,2831.0
