site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1120,decreasing,True,0.0,-11.634388654543226,-0.9299847792998478,-2444.0,44092.0,-0.602590322580645,-76.79674838709677
Site_1121,decreasing,True,0.0,-11.005760204932214,-0.8797564687975646,-2312.0,44092.0,-0.4302667140825035,-81.73039829302988
Site_1122,decreasing,True,0.0,-9.972672406326398,-0.7971841704718418,-2095.0,44089.0,-0.33441558441558417,-98.08103896103897
Site_1123,decreasing,True,0.0,-10.153647359258777,-0.8116438356164384,-2133.0,44089.0,-0.37141091219096345,-95.51920716112531
Site_1124,decreasing,True,0.0,-11.396271817569358,-0.910958904109589,-2394.0,44092.0,-0.4602797619047621,-119.55992857142856
Site_1125,decreasing,True,0.0,-11.039221746771753,-0.882420091324201,-2319.0,44091.0,-0.4196446078431373,-105.98279411764706
Site_1126,decreasing,True,0.0,-9.743851464147976,-0.7789193302891934,-2047.0,44091.0,-0.3162957317073171,-84.60335365853658
Site_1127,decreasing,True,0.0,-11.39163866189734,-0.9105783866057838,-2393.0,44091.0,-0.42729490022172956,-100.40738359201774
Site_1128,decreasing,True,0.0,-11.729635389332774,-0.9375951293759512,-2464.0,44092.0,-0.6281625000000004,-102.68614999999998
Site_1129,decreasing,True,0.0,-11.310549756258766,-0.9041095890410958,-2376.0,44092.0,-0.5046739130434782,-105.12173913043479
Site_113,decreasing,True,0.0,-9.5204149726022,-0.76103500761035,-2000.0,44087.333333333336,-0.24495616883116883,-74.97157792207793
Site_1130,decreasing,True,0.0,-10.19616295922106,-0.815068493150685,-2142.0,44092.0,-0.35554093567251466,-125.69052631578948
Site_1131,decreasing,True,0.0,-10.5725074537676,-0.8451293759512938,-2221.0,44091.0,-0.34127642276422726,-100.60404878048782
Site_1132,decreasing,True,0.0,-12.06299896109619,-0.9642313546423136,-2534.0,44092.0,-0.7871651785714279,-71.9120535714286
Site_1133,decreasing,True,0.0,-11.586765287148452,-0.926179604261796,-2434.0,44092.0,-0.45764171122994646,-104.08489839572192
Site_1134,decreasing,True,0.0,-11.515722005013002,-0.9204718417047184,-2419.0,44089.0,-0.48951461988304124,-129.58747368421052
Site_1135,decreasing,True,0.0,-11.058271309751515,-0.8839421613394216,-2323.0,44091.0,-0.39134848484848483,-74.76145454545454
Site_1136,decreasing,True,0.0,-11.234607170535742,-0.898021308980213,-2360.0,44090.0,-0.4480749128919862,-111.1693031358885
Site_1137,decreasing,True,0.0,-11.210667813589607,-0.8961187214611872,-2355.0,44091.0,-0.5078566384180792,-122.69716101694914
Site_1138,decreasing,True,0.0,-11.110783606977485,-0.8881278538812786,-2334.0,44090.0,-0.5237115384615385,-69.70638461538462
Site_1139,decreasing,True,0.0,-11.596552971706034,-0.9269406392694064,-2436.0,44090.0,-0.6664608695652177,-108.39740869565215
Site_114,decreasing,True,0.0,-10.401061386949745,-0.8314307458143074,-2185.0,44091.0,-0.3325595238095236,-91.06785714285715
Site_1140,decreasing,True,0.0,-11.377222470611448,-0.9094368340943684,-2390.0,44092.0,-0.4700000000000001,-76.7
Site_1141,decreasing,True,0.0,-9.696227556698572,-0.7751141552511416,-2037.0,44091.0,-0.22652272727272726,-101.29518181818182
Site_1142,decreasing,True,0.0,-10.691445980126707,-0.8546423135464232,-2246.0,44092.0,-0.36835271317829466,-93.7493023255814
